"PIZZA BIZI","Pizzeria","Rotenturmstraße 4, 1010 WienRotenturmstraße 4, 1010 Wien","raman.ali@hotmail.com","Harold at"
"Rembetiko","Restaurant / Griechisch","Porzellangasse 38, 1090 WienPorzellangasse 38, 1090 Wien","office@rembetiko.at","Harold at"
"Chattanooga Cafe und Grill","Restaurant","Graben 29A, 1010 WienGraben 29A, 1010 Wien","office@chattanooga.at","Harold at"
"Das Patrick‘s","Restaurant","Altwirthgasse 6/10 Gebäude A, 1230 WienAltwirthgasse 6/10 Gebäude A, 1230 Wien","patrick.berky@live.at","Harold at"
"WOK HOUSE Asia Restaurant","Restaurant / Asiatisch","Erzherzog-Karl-Straße 169, 1220 WienErzherzog-Karl-Straße 169, 1220 Wien","info@wokhouse.at","Harold at"
"KARDOS","Restaurant / Ungarisch","Dominikanerbastei 8, 1010 WienDominikanerbastei 8, 1010 Wien","office@kardos.cc","Harold at"
"ARSENALSTUBEN","Restaurant","Ghegastraße Arsenal/Objekt 1, 1030 WienGhegastraße Arsenal/Objekt 1, 1030 Wien","mahlzeit@arsenalstuben.at","Harold at"
"Biergartl im Stadtpark","Restaurant","Johannesgasse 33, 1010 WienJohannesgasse 33, 1010 Wien","reservierung@biergartlimstadtpark.com","Harold at"
"AKROPOLIS Restaurant","Restaurant / Griechisch","Stadlauer Straße 26, 1220 WienStadlauer Straße 26, 1220 Wien","office@akropolis-wien.at","Harold at"
"Al Caminetto Ristorante","Restaurant / Italienisch","Krugerstraße 4, 1010 WienKrugerstraße 4, 1010 Wien","office@alcaminetto.at","Harold at"
"Jasmin al Sham","Restaurant / Arabisch","Heiligenstädter Straße 9, 1190 WienHeiligenstädter Straße 9, 1190 Wien","jasmin_al_sham@outlook.com","Harold at"
"L'ASINO CHE RIDE","Restaurant / Italienisch","Augustinerstraße 12 Ecke Dorotheergasse, 1010 WienAugustinerstraße 12 Ecke Dorotheergasse, 1010 Wien","lasinocheride@hotmail.com","Harold at"
"FLAMINGO Restaurant","Restaurant","Kuchelauer Hafenstraße 56, 1190 WienKuchelauer Hafenstraße 56, 1190 Wien","office@flamingorestaurant.at","Harold at"
"Strebersdorferhof","Restaurant","Rußbergstraße 46, 1210 WienRußbergstraße 46, 1210 Wien","info@strebersdorferhof.at","Harold at"
"Bierfink","Gasthaus u Gasthof","Friedrich-Kaiser-Gasse 69, 1160 WienFriedrich-Kaiser-Gasse 69, 1160 Wien","office@schutzhaus-zukunft.at","Harold at"
